raceId,driverId,lap,position,time,milliseconds,constructor,constructorId,year,race,driverRef,lap_time
84,30,1,11,1:41.057,101057.0,Ferrari,6,2005,Turkish GP 2005,michael_schumacher,0 days 00:01:41.057000
84,30,2,11,1:31.056,91056.0,Ferrari,6,2005,Turkish GP 2005,michael_schumacher,0 days 00:01:31.056000
84,30,3,12,1:31.362,91362.0,Ferrari,6,2005,Turkish GP 2005,michael_schumacher,0 days 00:01:31.362000
84,30,4,12,1:31.285,91285.0,Ferrari,6,2005,Turkish GP 2005,michael_schumacher,0 days 00:01:31.285000
84,30,5,11,1:29.795,89795.0,Ferrari,6,2005,Turkish GP 2005,michael_schumacher,0 days 00:01:29.795000
84,30,6,11,1:29.494,89494.0,Ferrari,6,2005,Turkish GP 2005,michael_schumacher,0 days 00:01:29.494000
84,30,7,11,1:29.036,89036.0,Ferrari,6,2005,Turkish GP 2005,michael_schumacher,0 days 00:01:29.036000
84,30,8,11,1:29.112,89112.0,Ferrari,6,2005,Turkish GP 2005,michael_schumacher,0 days 00:01:29.112000
84,30,9,10,1:29.318,89318.0,Ferrari,6,2005,Turkish GP 2005,michael_schumacher,0 days 00:01:29.318000
84,30,10,10,1:28.208,88208.0,Ferrari,6,2005,Turkish GP 2005,michael_schumacher,0 days 00:01:28.208000
84,30,11,10,1:28.632,88632.0,Ferrari,6,2005,Turkish GP 2005,michael_schumacher,0 days 00:01:28.632000
84,30,12,10,1:29.116,89116.0,Ferrari,6,2005,Turkish GP 2005,michael_schumacher,0 days 00:01:29.116000
84,30,13,10,1:28.283,88283.0,Ferrari,6,2005,Turkish GP 2005,michael_schumacher,0 days 00:01:28.283000
84,30,14,10,1:39.348,99348.0,Ferrari,6,2005,Turkish GP 2005,michael_schumacher,0 days 00:01:39.348000
84,30,15,19,2:53.237,97416.33333333333,Ferrari,6,2005,Turkish GP 2005,michael_schumacher,0 days 00:01:37.416333333
84,30,16,20,26:57.815,95484.66666666667,Ferrari,6,2005,Turkish GP 2005,michael_schumacher,0 days 00:01:35.484666667
84,30,17,20,1:33.553,93553.0,Ferrari,6,2005,Turkish GP 2005,michael_schumacher,0 days 00:01:33.553000
84,30,18,20,1:29.061,89061.0,Ferrari,6,2005,Turkish GP 2005,michael_schumacher,0 days 00:01:29.061000
84,30,19,20,1:28.510,88510.0,Ferrari,6,2005,Turkish GP 2005,michael_schumacher,0 days 00:01:28.510000
84,30,20,20,1:27.543,87543.0,Ferrari,6,2005,Turkish GP 2005,michael_schumacher,0 days 00:01:27.543000
84,30,21,19,1:26.991,86991.0,Ferrari,6,2005,Turkish GP 2005,michael_schumacher,0 days 00:01:26.991000
84,30,22,19,1:27.581,87581.0,Ferrari,6,2005,Turkish GP 2005,michael_schumacher,0 days 00:01:27.581000
84,30,23,19,1:27.915,87915.0,Ferrari,6,2005,Turkish GP 2005,michael_schumacher,0 days 00:01:27.915000
84,30,24,19,1:49.523,109523.0,Ferrari,6,2005,Turkish GP 2005,michael_schumacher,0 days 00:01:49.523000
84,30,25,19,1:28.037,88037.0,Ferrari,6,2005,Turkish GP 2005,michael_schumacher,0 days 00:01:28.037000
84,30,26,19,1:28.006,88006.0,Ferrari,6,2005,Turkish GP 2005,michael_schumacher,0 days 00:01:28.006000
84,30,27,19,1:28.901,88901.0,Ferrari,6,2005,Turkish GP 2005,michael_schumacher,0 days 00:01:28.901000
84,30,28,19,1:28.550,88550.0,Ferrari,6,2005,Turkish GP 2005,michael_schumacher,0 days 00:01:28.550000
84,30,29,18,1:28.014,88014.0,Ferrari,6,2005,Turkish GP 2005,michael_schumacher,0 days 00:01:28.014000
84,30,30,17,1:27.869,87869.0,Ferrari,6,2005,Turkish GP 2005,michael_schumacher,0 days 00:01:27.869000
84,30,31,17,1:27.501,87501.0,Ferrari,6,2005,Turkish GP 2005,michael_schumacher,0 days 00:01:27.501000
84,30,32,17,1:31.939,91939.0,Ferrari,6,2005,Turkish GP 2005,michael_schumacher,0 days 00:01:31.939000
84,22,1,10,1:39.045,99045.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:39.045000
84,22,2,10,1:32.277,92277.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:32.277000
84,22,3,10,1:30.864,90864.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:30.864000
84,22,4,11,1:30.918,90918.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:30.918000
84,22,5,10,1:30.156,90156.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:30.156000
84,22,6,10,1:29.443,89443.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:29.443000
84,22,7,10,1:29.459,89459.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:29.459000
84,22,8,10,1:29.017,89017.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:29.017000
84,22,9,9,1:28.905,88905.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:28.905000
84,22,10,9,1:28.561,88561.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:28.561000
84,22,11,9,1:28.309,88309.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:28.309000
84,22,12,9,1:28.469,88469.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:28.469000
84,22,13,9,1:27.897,87897.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:27.897000
84,22,14,9,1:27.899,87899.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:27.899000
84,22,15,8,1:28.348,88348.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:28.348000
84,22,16,8,1:27.732,87732.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:27.732000
84,22,17,8,1:27.758,87758.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:27.758000
84,22,18,8,1:27.799,87799.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:27.799000
84,22,19,8,1:30.019,90019.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:30.019000
84,22,20,8,1:27.405,87405.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:27.405000
84,22,21,8,1:27.929,87929.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:27.929000
84,22,22,7,1:27.458,87458.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:27.458000
84,22,23,7,1:26.879,86879.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:26.879000
84,22,24,6,1:28.053,88053.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:28.053000
84,22,25,10,1:50.410,110410.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:50.410000
84,22,26,10,1:29.299,89299.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:29.299000
84,22,27,10,1:29.322,89322.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:29.322000
84,22,28,10,1:28.489,88489.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:28.489000
84,22,29,10,1:27.897,87897.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:27.897000
84,22,30,9,1:28.205,88205.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:28.205000
